Symbol,Open,High,Low,Last,Change,% Change,Bid,Offer,Volume (Shares),Value ('000 Baht),Sector
ASIA,-,-,-,-,-,-,5.55,5.60,-,-,service
BEYOND,6.65,6.85,6.50,6.70,+0.20,+3.08,6.50,6.70,"1,900",12.53,service
CENTEL,27.00,27.50,25.50,26.00,-1.00,-3.70,25.75,26.00,"5,297,756","140,834.50",service
CSR,-,-,-,-,-,-,69.75,74.00,-,-,service
DUSIT,8.85,9.05,8.60,8.75,-0.55,-5.91,8.75,8.80,"446,246","3,924.15",service
ERW,2.68,2.74,2.60,2.70,+0.04,+1.50,2.68,2.70,"65,249,058","175,542.61",service
GRAND,0.04,0.04,0.04,0.04,0.00,0.00,0.03,0.04,"47,121",1.88,service
LRH,-,-,-,-,-,-,-,-,-,-,service
MANRIN,-,-,-,-,-,-,22.00,23.00,-,-,service
MINT,24.50,24.60,24.30,24.40,-0.30,-1.21,24.40,24.50,"7,742,622","189,313.03",service
OHTL,290.00,290.00,275.00,275.00,+5.00,+1.85,273.00,290.00,701,199.58,service
ROH,-,-,-,-,-,-,-,-,-,-,service
SHANG,-,-,-,-,-,-,43.50,46.75,-,-,service
SHR,1.55,1.57,1.52,1.54,-0.02,-1.28,1.53,1.54,"3,729,907","5,734.12",service
SPA,3.62,3.66,3.62,3.66,+0.04,+1.10,3.66,3.68,"507,818","1,846.80",service
VRANDA,4.70,4.74,4.70,4.74,+0.04,+0.85,4.70,4.74,"8,300",39.24,service
AAV,1.25,1.26,1.23,1.23,-0.01,-0.81,1.23,1.24,"61,721,841","76,704.76",service
ANI,3.30,3.30,3.18,3.20,-0.02,-0.62,3.20,3.24,"72,300",231.85,service
AOT,38.50,39.50,38.50,39.00,+0.50,+1.30,38.75,39.00,"16,939,308","659,127.72",service
ASIMAR,1.48,1.56,1.48,1.51,+0.04,+2.72,1.50,1.53,"280,900",425.88,service
BA,14.70,14.80,14.30,14.70,0.00,0.00,14.60,14.70,"6,631,247","96,274.93",service
BEM,5.50,5.55,5.40,5.45,-0.05,-0.91,5.45,5.50,"15,985,206","87,597.16",service
BTS,3.42,3.46,3.36,3.38,-0.06,-1.74,3.38,3.40,"63,816,034","216,887.12",service
BTSGIF,2.68,2.70,2.68,2.68,0.00,0.00,2.68,2.70,"711,601","1,915.05",service
DMT,10.30,10.40,10.20,10.30,+0.10,+0.98,10.20,10.30,"1,021,871","10,524.50",service
ETL,0.72,0.73,0.69,0.71,0.00,0.00,0.71,0.72,"464,012",328.46,service
III,4.74,4.78,4.70,4.72,0.00,0.00,4.70,4.72,"246,176","1,163.58",service
KEX,1.49,1.49,1.48,1.48,0.00,0.00,1.48,1.49,"1,757,200","2,602.56",service
KIAT,0.31,0.31,0.30,0.30,-0.01,-3.23,0.30,0.31,"308,800",95.26,service
KWC,-,-,-,-,-,-,280.00,303.00,-,-,service
MENA,0.89,0.92,0.89,0.89,0.00,0.00,0.89,0.91,"407,406",370.62,service
NYT,2.94,2.94,2.84,2.90,-0.02,-0.68,2.90,2.92,"1,172,998","3,393.53",service
PORT,0.71,0.73,0.70,0.70,-0.01,-1.41,0.70,0.71,"103,404",73.07,service
PRM,6.30,6.35,6.15,6.25,-0.15,-2.34,6.25,6.30,"8,554,841","53,585.70",service
PSL,6.40,6.40,6.20,6.30,-0.10,-1.56,6.25,6.30,"3,254,270","20,496.39",service
RCL,28.75,28.75,28.00,28.25,-0.50,-1.74,28.00,28.25,"4,080,726","115,810.68",service
SAV,11.90,12.30,11.90,12.00,+0.10,+0.84,12.00,12.10,"539,427","6,507.16",service
SINO,0.95,0.99,0.95,0.96,+0.01,+1.05,0.96,0.97,"248,400",239.67,service
SJWD,9.05,9.55,9.05,9.55,+0.80,+9.14,9.50,9.55,"8,348,687","77,842.20",service
TFFIF,6.00,6.10,6.00,6.10,+0.05,+0.83,6.05,6.10,"2,972,580","17,988.17",service
THAI,18.30,18.40,15.60,16.50,-1.30,-7.30,16.50,16.60,"397,321,323","6,702,044.96",service
TSTE,-,-,-,-,-,-,10.00,11.50,-,-,service
TTA,4.40,4.40,4.18,4.20,-0.16,-3.67,4.20,4.22,"4,438,667","18,850.71",service
WICE,2.86,2.96,2.86,2.92,+0.04,+1.39,2.90,2.92,"777,522","2,268.46",service
